elt   S11A      S12A      S13A      S15A      S18A      S19A      S20A      S22A      S25A      
28Si  2.17E-02  9.09E-02  5.85E-02  1.10E-01  1.37E-01  2.77E-01  2.88E-01  3.56E-01  3.15E-01  
29Si  6.45E-04  1.09E-03  1.45E-03  2.48E-03  3.68E-03  4.29E-03  6.11E-03  1.23E-02  1.15E-02  
30Si  6.97E-04  7.62E-04  1.97E-03  3.09E-03  5.41E-03  3.43E-03  5.82E-03  1.41E-02  1.26E-02  
31P   1.86E-04  8.91E-04  4.17E-04  7.82E-04  1.23E-03  2.02E-03  3.17E-03  4.96E-03  3.07E-03  
32S   9.71E-03  7.57E-02  2.60E-02  6.34E-02  5.46E-02  1.29E-01  1.52E-01  1.72E-01  1.41E-01  
33S   6.72E-05  7.13E-04  1.39E-04  2.85E-04  3.40E-04  8.81E-04  1.26E-03  1.34E-03  6.52E-04  
34S   6.29E-04  3.00E-03  1.52E-03  1.92E-03  3.68E-03  1.05E-02  2.22E-02  1.67E-02  7.13E-03  
35S   6.97E-07  6.07E-06  5.41E-06  4.31E-06  5.17E-06  4.51E-05  2.84E-05  6.56E-05  1.65E-05  
36S   1.95E-06  3.52E-06  7.66E-06  8.67E-06  1.26E-05  3.11E-05  2.49E-05  8.86E-05  4.18E-05  
35Cl  4.90E-05  1.54E-03  1.01E-04  2.58E-04  2.73E-04  1.55E-03  2.09E-03  2.86E-03  6.84E-04  
36Cl  2.50E-07  1.15E-05  7.84E-07  2.17E-06  2.57E-06  1.87E-05  2.75E-05  5.18E-05  6.28E-06  
37Cl  1.32E-05  3.86E-05  2.32E-05  4.45E-05  7.63E-05  1.00E-04  1.06E-04  1.75E-04  1.88E-04  
36Ar  1.69E-03  2.18E-02  4.46E-03  1.25E-02  8.71E-03  2.07E-02  2.62E-02  2.80E-02  2.25E-02  
37Ar  2.22E-06  1.51E-04  6.23E-06  4.08E-05  1.60E-05  7.60E-05  1.22E-04  1.12E-04  6.54E-05  
38Ar  2.81E-04  4.80E-03  6.00E-04  2.07E-03  1.34E-03  6.43E-03  1.03E-02  8.31E-03  4.90E-03  
40Ar  7.75E-07  1.11E-06  3.39E-06  3.11E-06  4.44E-06  6.71E-06  4.72E-06  1.71E-05  1.38E-05  
39K   5.05E-05  2.14E-03  7.70E-05  3.18E-04  1.47E-04  8.69E-04  9.37E-04  1.50E-03  5.04E-04  
40K   1.74E-07  1.21E-05  2.45E-07  6.67E-07  1.05E-06  1.02E-05  9.48E-06  3.32E-05  3.45E-06  
41K   2.97E-06  4.52E-06  3.38E-06  4.37E-06  5.38E-06  6.03E-06  5.98E-06  1.02E-05  9.06E-06  
40Ca  1.32E-03  1.44E-02  3.61E-03  1.10E-02  6.82E-03  1.35E-02  1.43E-02  1.73E-02  1.67E-02  
41Ca  1.92E-06  1.56E-04  2.77E-06  1.68E-05  5.21E-06  2.11E-05  2.87E-05  3.53E-05  2.01E-05  
42Ca  8.32E-06  3.74E-04  1.58E-05  9.00E-05  3.32E-05  1.93E-04  3.78E-04  2.61E-04  1.45E-04  
43Ca  9.28E-07  1.03E-05  1.16E-06  1.81E-06  2.32E-06  9.44E-06  2.03E-05  2.50E-05  4.67E-06  
44Ca  1.37E-05  1.98E-05  1.61E-05  1.97E-05  2.43E-05  2.94E-05  4.16E-05  5.33E-05  3.64E-05  
45Ca  5.60E-08  6.02E-08  2.90E-07  5.69E-07  4.75E-07  8.40E-07  5.84E-07  1.37E-06  1.75E-06  
46Ca  7.20E-08  5.80E-08  3.76E-07  3.33E-07  2.98E-07  4.84E-07  3.36E-07  1.16E-06  8.90E-07  
47Ca  0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      
48Ca  1.33E-06  1.43E-06  1.69E-06  1.80E-06  2.15E-06  2.19E-06  2.21E-06  2.43E-06  2.89E-06  
43Sc  6.98E-07  1.79E-06  7.60E-07  1.31E-06  2.53E-07  8.43E-07  8.52E-07  1.20E-06  1.04E-06  
45Sc  4.32E-07  3.36E-06  5.22E-07  7.87E-07  1.10E-06  3.25E-06  9.44E-06  1.20E-05  2.28E-06  
44Ti  6.20E-05  8.26E-05  6.26E-05  5.68E-05  8.48E-06  1.92E-05  1.38E-05  6.15E-05  3.04E-05  
45Ti  7.18E-07  1.69E-06  1.27E-06  1.71E-06  3.06E-07  6.43E-07  4.81E-07  1.23E-06  3.92E-07  
46Ti  7.08E-06  1.05E-04  9.77E-06  4.86E-05  1.50E-05  5.35E-05  8.63E-05  6.97E-05  5.57E-05  
47Ti  2.20E-06  9.62E-06  2.64E-06  3.62E-06  3.96E-06  6.63E-06  1.57E-05  1.45E-05  7.54E-06  
48Ti  2.03E-05  2.43E-05  2.35E-05  2.72E-05  3.19E-05  3.37E-05  4.27E-05  4.31E-05  4.23E-05  
49Ti  1.74E-06  2.09E-06  2.08E-06  2.93E-06  4.10E-06  4.13E-06  5.42E-06  6.49E-06  7.81E-06  
50Ti  1.84E-06  2.00E-06  2.66E-06  4.41E-06  6.32E-06  6.23E-06  6.91E-06  1.02E-05  1.59E-05  
47V   9.46E-07  1.40E-06  1.21E-06  1.44E-06  4.23E-07  8.09E-07  6.38E-07  1.24E-06  3.28E-07  
48V   6.99E-07  1.43E-06  7.78E-07  1.00E-06  6.07E-07  1.24E-06  2.34E-06  7.91E-06  3.40E-05  
49V   6.04E-07  3.38E-06  1.03E-06  1.66E-06  1.46E-06  3.09E-06  8.03E-06  6.68E-06  1.38E-05  
50V   1.53E-08  1.79E-07  3.85E-08  9.47E-08  1.11E-07  1.68E-07  1.62E-06  1.28E-06  2.93E-07  
51V   3.66E-06  5.14E-06  4.51E-06  5.15E-06  6.18E-06  6.34E-06  8.44E-06  8.85E-06  9.12E-06  
48Cr  1.21E-04  1.38E-04  1.55E-04  1.67E-04  9.06E-05  1.51E-04  1.48E-04  2.59E-04  1.66E-04  
49Cr  3.55E-06  5.18E-06  6.46E-06  8.81E-06  8.01E-06  1.23E-05  1.20E-05  1.51E-05  4.18E-06  
50Cr  1.86E-05  1.09E-04  5.09E-05  1.23E-04  1.02E-04  1.66E-04  1.65E-04  1.89E-04  2.09E-04  
51Cr  6.05E-07  1.31E-05  2.18E-06  5.32E-06  4.85E-06  9.56E-06  1.35E-05  1.34E-05  4.12E-05  
52Cr  1.44E-04  1.70E-04  1.73E-04  2.01E-04  2.43E-04  2.57E-04  2.72E-04  2.94E-04  3.50E-04  
53Cr  1.64E-05  1.81E-05  1.89E-05  2.20E-05  2.62E-05  2.67E-05  2.77E-05  3.02E-05  3.41E-05  
54Cr  5.09E-06  5.69E-06  7.40E-06  1.15E-05  1.75E-05  1.64E-05  1.54E-05  2.19E-05  3.37E-05  
51Mn  2.44E-06  5.42E-06  1.04E-05  1.92E-05  2.35E-05  3.60E-05  3.52E-05  3.96E-05  1.25E-05  
52Mn  4.18E-06  9.54E-06  1.30E-05  2.23E-05  2.34E-05  4.40E-05  5.61E-05  8.36E-05  1.21E-03  
53Mn  1.29E-05  3.74E-05  5.10E-05  9.01E-05  9.95E-05  1.68E-04  1.91E-04  2.33E-04  3.57E-04  
54Mn  2.42E-07  1.27E-06  1.27E-06  3.13E-06  4.07E-06  6.39E-06  6.54E-06  6.99E-06  7.90E-06  
55Mn  1.29E-04  1.40E-04  1.49E-04  1.71E-04  2.04E-04  2.06E-04  2.13E-04  2.30E-04  2.58E-04  
52Fe  2.54E-04  4.58E-04  8.69E-04  1.42E-03  1.59E-03  2.54E-03  2.62E-03  3.24E-03  1.93E-03  
53Fe  9.12E-06  1.89E-05  4.44E-05  7.83E-05  1.00E-04  1.42E-04  1.22E-04  1.39E-04  1.85E-05  
54Fe  1.53E-03  2.97E-03  4.33E-03  7.59E-03  8.77E-03  1.32E-02  1.27E-02  1.52E-02  1.64E-02  
55Fe  1.47E-05  1.05E-04  4.19E-05  7.93E-05  7.45E-05  1.37E-04  1.38E-04  1.92E-04  4.25E-04  
56Fe  1.11E-02  1.22E-02  1.28E-02  1.47E-02  1.71E-02  1.77E-02  1.83E-02  1.97E-02  2.19E-02  
57Fe  3.08E-04  3.46E-04  3.72E-04  4.68E-04  6.47E-04  6.32E-04  6.29E-04  7.59E-04  9.05E-04  
58Fe  7.28E-05  8.80E-05  1.59E-04  3.08E-04  5.36E-04  4.46E-04  3.94E-04  6.27E-04  9.22E-04  
59Fe  1.10E-05  1.80E-06  7.04E-05  5.15E-05  8.21E-05  9.62E-05  4.08E-05  1.01E-04  8.52E-05  
60Fe  8.78E-06  2.91E-06  1.05E-04  2.66E-05  2.54E-05  4.69E-05  1.12E-05  5.19E-05  2.10E-05  
55Co  1.40E-04  2.31E-04  5.09E-04  7.56E-04  8.45E-04  1.27E-03  1.21E-03  1.52E-03  1.23E-03  
56Co  1.41E-04  1.20E-04  2.48E-04  2.31E-04  1.49E-04  2.50E-04  4.02E-04  1.67E-03  4.20E-03  
57Co  5.82E-05  4.93E-05  4.36E-05  3.55E-05  1.94E-05  3.49E-05  5.60E-05  2.35E-04  4.13E-04  
58Co  1.08E-05  6.12E-06  6.21E-06  3.46E-06  2.71E-06  3.42E-06  3.17E-06  6.23E-06  3.56E-06  
59Co  4.24E-05  5.59E-05  5.93E-05  1.22E-04  1.92E-04  1.45E-04  1.86E-04  2.21E-04  3.31E-04  
60Co  1.93E-06  3.27E-06  7.30E-06  1.50E-05  2.74E-05  2.83E-05  2.30E-05  2.43E-05  5.36E-05  
61Co  3.19E-06  6.40E-08  5.17E-05  1.47E-05  2.00E-05  1.13E-05  3.74E-06  2.01E-05  2.75E-05  
56Ni  6.93E-02  4.32E-02  1.33E-01  1.15E-01  6.57E-02  1.00E-01  8.80E-02  2.05E-01  1.29E-01  
57Ni  4.79E-03  2.76E-03  6.00E-03  4.26E-03  1.67E-03  2.41E-03  1.93E-03  5.78E-03  2.93E-03  
58Ni  1.61E-02  6.47E-03  1.06E-02  6.16E-03  3.19E-03  3.79E-03  3.24E-03  8.73E-03  5.28E-03  
59Ni  3.46E-04  2.44E-04  3.86E-04  2.58E-04  8.18E-05  1.16E-04  9.46E-05  3.67E-04  1.74E-04  
60Ni  5.80E-04  5.70E-04  6.51E-04  6.63E-04  5.66E-04  8.95E-04  1.20E-03  2.52E-03  2.31E-03  
61Ni  1.90E-05  2.27E-05  2.73E-05  5.64E-05  1.01E-04  1.22E-04  1.19E-04  2.36E-04  2.82E-04  
62Ni  5.19E-05  5.29E-05  8.81E-05  1.72E-04  2.83E-04  3.91E-04  7.20E-04  9.61E-04  8.29E-04  
63Ni  8.57E-06  9.53E-06  1.85E-05  7.96E-05  1.42E-04  1.02E-04  6.86E-05  5.99E-05  2.79E-04  
64Ni  2.28E-05  2.54E-05  4.68E-05  1.54E-04  2.36E-04  2.52E-04  2.87E-04  4.99E-04  8.98E-04  
65Ni  5.75E-06  6.62E-08  2.51E-05  1.11E-05  1.29E-05  1.98E-05  4.02E-06  1.95E-05  2.06E-05  
59Cu  1.92E-05  8.22E-06  2.11E-05  7.46E-06  2.49E-06  2.06E-06  2.27E-07  1.03E-06  8.69E-11  
60Cu  1.94E-03  1.25E-03  2.74E-03  2.03E-03  4.23E-04  7.50E-04  2.94E-04  1.91E-03  9.24E-08  
61Cu  2.12E-04  1.28E-04  2.47E-04  1.73E-04  3.36E-05  5.91E-05  2.85E-05  1.77E-04  2.52E-05  
62Cu  1.91E-05  9.23E-06  1.18E-05  6.93E-06  1.37E-06  2.32E-06  1.94E-06  1.21E-05  4.80E-06  
63Cu  8.06E-06  9.06E-06  8.93E-06  1.33E-05  1.95E-05  3.69E-05  3.71E-05  5.87E-05  6.94E-05  
64Cu  2.40E-07  1.17E-07  6.76E-07  1.35E-06  3.31E-06  5.49E-06  2.35E-06  8.68E-06  1.10E-05  
65Cu  5.86E-06  6.96E-06  1.20E-05  3.89E-05  6.11E-05  6.20E-05  1.11E-04  1.33E-04  2.14E-04  
66Cu  2.34E-07  1.10E-08  9.71E-07  1.54E-06  2.34E-06  2.51E-06  9.79E-07  2.61E-06  4.56E-06  
60Zn  2.22E-04  1.33E-04  5.38E-04  3.35E-04  8.05E-05  1.04E-04  1.63E-05  1.09E-04  2.22E-12  
61Zn  1.02E-05  5.81E-06  1.53E-05  6.84E-06  1.59E-06  1.72E-06  1.47E-07  1.11E-06  7.36E-14  
62Zn  2.29E-03  1.04E-03  1.65E-03  9.02E-04  1.87E-04  2.80E-04  1.48E-04  9.99E-04  2.64E-04  
63Zn  1.39E-05  8.48E-06  9.84E-06  6.35E-06  1.24E-06  1.98E-06  6.67E-07  4.79E-06  1.86E-08  
64Zn  2.49E-05  2.11E-05  2.83E-05  2.93E-05  2.58E-05  3.60E-05  4.41E-05  6.08E-05  6.98E-05  
65Zn  5.48E-07  5.16E-07  6.61E-07  1.36E-06  2.55E-06  2.97E-06  5.18E-06  5.56E-06  9.80E-06  
66Zn  1.02E-05  1.25E-05  1.67E-05  4.35E-05  8.00E-05  1.20E-04  2.72E-04  2.63E-04  3.35E-04  
67Zn  1.55E-06  1.80E-06  2.29E-06  9.70E-06  1.75E-05  2.13E-05  1.83E-05  2.48E-05  9.06E-05  
68Zn  8.68E-06  9.89E-06  1.61E-05  6.58E-05  1.04E-04  1.29E-04  2.63E-04  3.96E-04  6.96E-04  
69Zn  1.48E-06  3.58E-08  6.34E-06  4.37E-06  6.05E-06  1.09E-05  3.47E-06  1.45E-05  2.65E-05  
64Ga  2.89E-06  1.66E-06  5.83E-06  4.01E-06  6.80E-07  9.92E-07  1.31E-07  1.31E-06  1.42E-10  
65Ga  8.85E-07  6.82E-07  7.30E-07  4.80E-07  6.72E-08  1.21E-07  2.96E-08  3.04E-07  1.19E-09  
66Ga  1.81E-06  1.02E-06  1.18E-06  7.52E-07  1.18E-07  2.22E-07  9.31E-07  6.76E-06  5.29E-06  
67Ga  3.59E-08  4.06E-08  1.75E-08  3.11E-08  5.03E-08  1.72E-07  1.90E-07  3.01E-07  2.37E-07  
68Ga  2.50E-09  1.73E-09  5.32E-09  2.93E-08  5.33E-08  1.15E-07  1.67E-07  2.21E-07  2.51E-07  
69Ga  1.15E-06  1.31E-06  2.59E-06  8.70E-06  1.45E-05  2.10E-05  4.03E-05  4.44E-05  7.31E-05  
70Ga  2.17E-07  2.07E-08  7.37E-07  1.98E-06  2.65E-06  6.70E-06  2.03E-06  4.22E-06  1.31E-05  
64Ge  1.19E-07  1.11E-07  4.06E-07  1.86E-07  3.43E-08  3.31E-08  1.30E-09  1.47E-08  2.16E-16  
65Ge  3.45E-09  1.09E-09  1.23E-09  8.60E-11  1.04E-11  5.76E-12  3.13E-14  5.78E-13  1.07E-18  
66Ge  4.56E-05  2.26E-05  3.38E-05  1.94E-05  3.11E-06  5.14E-06  1.73E-06  1.63E-05  1.16E-06  
67Ge  0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      
68Ge  1.13E-07  2.19E-08  1.27E-08  8.71E-09  1.03E-08  2.69E-08  4.04E-08  3.49E-08  3.21E-08  
69Ge  2.52E-09  4.36E-09  6.61E-09  3.93E-08  6.49E-08  9.95E-08  6.40E-07  6.62E-07  3.44E-07  
70Ge  1.48E-06  2.19E-06  3.41E-06  1.51E-05  2.29E-05  3.79E-05  1.71E-04  2.14E-04  1.41E-04  
71Ge  2.83E-06  4.09E-06  6.38E-06  3.97E-05  6.06E-05  7.87E-05  8.02E-05  1.18E-04  4.92E-04  
Mass  9.74      10.7      11.6      13.6      16.3      17.1      18.0      20.1      23.1      
