elt   Z12A      Z13A      Z15A      Z18A      Z20A      Z22A      Z25A      Z25B    
KE    1.28      1.29      1.27      1.23      1.15      1.26      1.22      1.83    
1H    6.39      6.83      7.69      8.85      9.56      10.2      11.4      11.4      
4He   4.08      4.42      4.90      5.70      6.32      7.10      7.33      7.82      
66Zn  1.13E-07  1.26E-06  1.24E-06  7.16E-17  2.14E-20  1.10E-06  1.37E-11  1.98E-06  
67Zn  6.62E-10  8.05E-10  5.27E-10  9.44E-18  2.54E-21  9.75E-10  2.92E-12  3.62E-10  
68Zn  8.18E-09  2.15E-12  5.74E-13  7.71E-17  1.38E-20  2.35E-12  1.69E-10  2.27E-10  
69Zn  7.12E-09  8.20E-18  1.02E-17  2.56E-17  5.81E-21  2.19E-16  2.42E-12  4.87E-11  
64Ga  3.89E-10  4.57E-12  9.80E-16  1.63E-28  2.79E-32  4.00E-07  2.18E-28  4.21E-06  
65Ga  7.41E-08  4.68E-08  4.11E-09  1.28E-24  1.02E-28  2.72E-07  5.17E-20  2.84E-07  
66Ga  3.14E-06  2.19E-05  9.34E-06  7.35E-23  6.51E-27  4.77E-06  9.66E-18  6.32E-06  
67Ga  2.11E-08  8.50E-08  2.29E-08  9.02E-22  9.64E-26  2.74E-08  1.10E-15  8.36E-09  
68Ga  4.64E-13  3.71E-12  3.99E-13  3.61E-22  3.92E-26  7.62E-13  7.50E-16  1.33E-13  
69Ga  2.55E-08  2.39E-13  3.35E-14  1.93E-17  5.23E-21  3.33E-13  2.60E-11  6.28E-11  
70Ga  2.82E-09  6.16E-18  4.63E-18  1.90E-18  1.92E-22  1.00E-16  9.78E-13  3.60E-12  
64Ge  3.58E-17  1.21E-19  5.54E-28  1.37E-40  6.30E-45  5.87E-10  1.20E-41  3.23E-08  
65Ge  1.47E-29  4.97E-31  6.44E-46  5.87E-50  2.18E-55  5.62E-16  1.70E-48  1.75E-13  
66Ge  1.09E-05  4.35E-05  9.02E-06  7.43E-28  4.77E-32  1.13E-05  3.19E-22  6.04E-06  
67Ge  3.65E-09  4.27E-09  1.64E-10  4.37E-28  1.07E-32  5.38E-09  1.32E-22  1.95E-09  
68Ge  4.45E-09  3.48E-08  2.82E-09  2.23E-23  9.25E-27  5.42E-09  1.88E-16  1.00E-09  
69Ge  1.80E-12  8.39E-12  5.06E-13  1.04E-22  4.39E-26  2.80E-12  1.44E-15  9.05E-14  
70Ge  2.69E-08  2.18E-13  7.37E-15  7.58E-18  1.90E-21  5.06E-14  4.27E-11  5.38E-11  
71Ge  3.00E-08  3.09E-15  3.94E-15  6.10E-17  6.66E-21  3.74E-14  5.47E-10  7.36E-10  
Mass  10.7      11.8      13.6      14.7      16.0      20.6      18.8      23.2      
