elt   U30A      U30B      U35A      U35B      U35C      U40A      U40B      U40C    
46Ca  3.19E-10  3.18E-10  2.52E-08  2.59E-08  2.58E-08  2.66E-12  1.06E-11  1.12E-11  
47Ca  1.19E-10  1.24E-10  9.20E-09  9.99E-09  1.02E-08  6.17E-14  1.39E-12  1.56E-12  
48Ca  3.20E-10  3.33E-10  6.99E-08  7.24E-08  7.26E-08  6.76E-14  5.26E-13  5.88E-13  
43Sc  1.51E-11  1.06E-07  3.26E-15  9.72E-11  8.02E-07  1.07E-17  6.72E-12  8.44E-07  
45Sc  5.69E-11  9.28E-07  8.26E-11  1.66E-10  6.05E-07  1.91E-11  6.59E-11  2.46E-07  
44Ti  2.40E-10  6.17E-05  9.46E-17  3.77E-10  2.04E-04  9.09E-19  7.88E-11  2.35E-04  
45Ti  1.54E-11  9.18E-07  1.04E-16  2.23E-11  2.32E-06  7.06E-18  5.86E-12  8.97E-07  
46Ti  1.44E-10  9.72E-07  6.34E-12  1.04E-09  2.22E-06  6.57E-12  8.53E-11  1.95E-06  
47Ti  3.73E-11  2.49E-07  1.02E-09  1.12E-09  2.04E-06  6.47E-12  3.16E-11  2.42E-06  
48Ti  7.73E-10  8.72E-08  2.49E-09  2.56E-09  1.49E-07  9.16E-10  9.51E-10  7.77E-08  
49Ti  1.12E-10  4.73E-10  5.84E-09  5.92E-09  6.88E-09  1.15E-10  1.69E-10  1.09E-09  
50Ti  2.60E-10  2.66E-10  2.63E-08  2.69E-08  2.67E-08  3.09E-11  2.94E-10  3.14E-10  
47V   5.81E-13  2.34E-07  4.52E-16  2.22E-12  1.04E-06  3.94E-18  6.45E-13  8.39E-07  
48V   1.79E-12  1.57E-05  3.09E-15  5.51E-12  2.93E-05  7.29E-17  1.24E-12  2.91E-05  
49V   1.65E-11  2.60E-06  8.23E-14  4.89E-11  6.26E-06  7.02E-16  1.30E-11  1.13E-05  
50V   4.69E-12  1.43E-09  2.64E-13  8.61E-12  1.71E-09  4.28E-15  7.84E-12  3.69E-09  
51V   6.77E-11  2.27E-09  3.03E-09  3.93E-09  1.04E-08  3.61E-11  7.69E-11  9.73E-09  
48Cr  3.19E-13  2.40E-04  4.14E-20  4.83E-13  6.18E-04  1.69E-22  5.71E-13  7.88E-04  
49Cr  2.12E-13  5.65E-06  1.70E-18  5.53E-13  1.01E-05  1.79E-18  3.91E-13  1.30E-05  
50Cr  2.98E-11  6.72E-06  1.29E-11  2.54E-10  9.29E-06  1.44E-11  2.31E-11  2.04E-05  
