elt   P30A      P30B      P35A      P35B      P35C      P40A      P40B      P40C    
57Co  5.51E-07  4.87E-04  1.54E-07  7.86E-07  3.44E-04  2.25E-08  2.69E-07  2.23E-03  
58Co  2.69E-07  4.93E-07  7.02E-08  4.15E-07  1.15E-05  1.43E-08  1.52E-07  1.11E-05  
59Co  2.59E-05  2.59E-05  1.75E-05  2.91E-05  2.88E-05  1.58E-05  3.22E-05  3.33E-05  
60Co  2.07E-06  2.04E-06  1.85E-06  3.18E-06  3.14E-06  2.67E-06  6.25E-06  6.22E-06  
61Co  6.55E-08  6.75E-08  1.12E-07  2.44E-07  2.64E-07  8.66E-08  3.35E-07  3.60E-07  
56Ni  2.64E-11  1.82E-01  3.07E-12  3.62E-11  6.10E-01  3.36E-13  9.85E-12  6.72E-01  
57Ni  2.26E-10  3.68E-03  3.09E-11  7.49E-10  1.61E-02  1.50E-11  8.30E-11  1.54E-02  
58Ni  2.44E-05  5.40E-04  2.66E-05  2.75E-05  1.49E-02  2.96E-05  2.96E-05  1.55E-02  
59Ni  9.63E-07  7.74E-05  5.44E-07  2.15E-06  8.80E-04  4.78E-07  6.85E-07  9.75E-04  
60Ni  6.50E-05  4.12E-03  5.70E-05  7.95E-05  8.61E-03  5.87E-05  7.95E-05  1.50E-02  
61Ni  1.91E-05  1.56E-04  1.38E-05  2.21E-05  1.32E-04  1.32E-05  2.65E-05  5.92E-04  
62Ni  4.63E-05  1.34E-04  3.25E-05  6.07E-05  3.95E-04  2.88E-05  5.85E-05  1.14E-03  
63Ni  9.11E-06  8.97E-06  7.68E-06  1.18E-05  1.17E-05  9.20E-06  2.10E-05  2.09E-05  
64Ni  6.59E-05  6.49E-05  5.14E-05  8.59E-05  8.46E-05  4.76E-05  1.09E-04  1.09E-04  
65Ni  1.45E-07  1.42E-07  1.76E-07  2.90E-07  3.11E-07  2.04E-07  5.35E-07  5.53E-07  
59Cu  0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      
60Cu  1.10E-09  1.16E-07  4.27E-10  1.39E-09  5.12E-03  2.48E-10  9.26E-10  2.26E-07  
61Cu  1.12E-08  4.60E-05  4.02E-09  1.47E-08  6.03E-04  1.18E-09  9.28E-09  1.83E-04  
62Cu  8.75E-09  2.33E-06  1.43E-09  1.44E-08  3.67E-05  4.19E-10  6.66E-09  2.91E-05  
63Cu  7.22E-06  1.45E-05  5.04E-06  8.84E-06  3.09E-05  4.61E-06  9.30E-06  5.11E-05  
64Cu  1.07E-06  1.08E-06  6.41E-07  1.62E-06  1.62E-06  3.02E-07  1.27E-06  1.53E-06  
65Cu  2.02E-05  2.03E-05  1.53E-05  2.74E-05  2.71E-05  1.41E-05  3.19E-05  3.33E-05  
66Cu  3.05E-08  2.42E-08  3.25E-08  6.32E-08  6.55E-08  2.75E-08  7.10E-08  8.44E-08  
60Zn  9.16E-16  6.71E-12  2.13E-16  8.62E-16  2.95E-06  7.21E-17  3.67E-16  3.24E-14  
61Zn  9.41E-16  7.22E-15  2.55E-16  1.10E-15  1.87E-09  3.41E-17  1.85E-16  3.79E-16  
62Zn  1.05E-09  1.29E-04  2.50E-10  1.27E-09  2.15E-03  1.55E-10  9.07E-10  1.62E-03  
63Zn  2.36E-09  1.12E-08  7.73E-10  3.65E-09  1.41E-05  5.19E-10  2.35E-09  3.88E-08  
64Zn  7.07E-06  9.97E-05  5.29E-06  1.04E-05  1.38E-04  5.37E-06  1.00E-05  1.43E-04  
65Zn  1.88E-06  2.92E-06  1.13E-06  2.90E-06  4.99E-06  1.09E-06  2.81E-06  6.59E-06  
66Zn  3.17E-05  3.73E-05  2.40E-05  4.93E-05  5.24E-05  2.20E-05  5.05E-05  7.52E-05  
67Zn  8.18E-06  8.04E-06  6.81E-06  1.11E-05  1.09E-05  6.67E-06  1.57E-05  1.56E-05  
68Zn  4.63E-05  4.64E-05  3.99E-05  7.04E-05  6.96E-05  3.58E-05  8.39E-05  8.66E-05  
69Zn  1.64E-07  1.59E-07  2.14E-07  3.80E-07  3.94E-07  2.38E-07  7.25E-07  7.50E-07  
64Ga  7.57E-12  1.16E-11  3.45E-12  8.57E-12  9.89E-08  2.10E-12  6.28E-12  8.40E-12  
65Ga  1.33E-10  1.65E-10  5.51E-11  1.90E-10  4.05E-07  3.32E-11  1.34E-10  2.08E-10  
66Ga  2.95E-09  4.69E-06  1.20E-09  4.40E-09  1.56E-05  6.53E-10  3.33E-09  3.43E-05  
67Ga  2.02E-07  2.13E-07  6.94E-08  2.99E-07  3.86E-07  8.06E-09  1.52E-07  3.39E-07  
68Ga  5.66E-08  6.09E-08  2.57E-08  1.17E-07  1.21E-07  4.65E-09  6.41E-08  1.06E-07  
69Ga  6.28E-06  6.74E-06  5.21E-06  1.08E-05  1.08E-05  5.16E-06  1.18E-05  1.42E-05  
70Ga  1.61E-07  1.62E-07  2.41E-07  6.09E-07  6.27E-07  1.55E-07  7.12E-07  7.93E-07  
64Ge  1.69E-18  3.73E-18  4.45E-19  1.89E-18  5.28E-12  1.60E-19  8.14E-19  1.29E-18  
65Ge  5.15E-22  1.95E-21  1.14E-22  8.74E-22  3.70E-20  3.02E-23  2.80E-22  5.43E-22  
66Ge  6.49E-12  9.68E-07  1.01E-12  8.34E-12  3.21E-05  8.18E-14  3.91E-12  6.77E-06  
67Ge  1.62E-11  2.16E-11  2.77E-12  2.45E-11  6.60E-09  1.90E-13  7.67E-12  2.88E-11  
68Ge  1.86E-08  3.99E-08  1.13E-09  5.37E-08  9.45E-08  2.98E-10  8.92E-09  1.48E-07  
69Ge  2.46E-08  3.60E-08  7.72E-09  6.01E-08  5.92E-08  3.83E-09  2.12E-08  7.12E-08  
70Ge  1.17E-05  1.49E-05  8.45E-06  2.58E-05  2.63E-05  6.50E-06  1.64E-05  2.87E-05  
71Ge  4.04E-05  3.97E-05  4.00E-05  6.63E-05  6.52E-05  3.75E-05  8.79E-05  8.74E-05  
Mass  27.4      28.2      28.5      31.8      33.2      31.1      35.8      38.2      
