elt   T30A      T30B      T35A      T35B      T35C      T40A      T40B      T40C    
KE    1.28      1.84      1.23      2.03      2.47      1.21      2.00      2.54    
1H    11.6      11.6      12.8      12.8      12.8      13.7      13.7      13.7      
4He   10.3      10.3      12.0      12.0      12.1      13.9      13.9      13.9      
40Ca  9.80E-06  1.77E-02  1.06E-05  2.02E-02  2.11E-02  1.15E-05  1.19E-05  3.72E-02  
41Ca  3.57E-08  5.29E-06  2.95E-08  5.07E-06  5.69E-06  2.43E-08  3.48E-08  6.96E-06  
42Ca  7.17E-08  4.16E-06  6.90E-08  3.65E-06  4.46E-06  5.70E-08  1.12E-07  5.33E-06  
43Ca  1.17E-08  5.86E-08  1.89E-08  8.21E-08  5.87E-07  1.58E-08  3.31E-08  8.57E-07  
44Ca  8.24E-08  8.49E-08  1.09E-07  1.27E-07  1.32E-07  1.02E-07  1.56E-07  1.66E-07  
45Ca  1.26E-09  1.31E-09  2.78E-09  3.36E-09  3.36E-09  2.99E-09  5.66E-09  5.67E-09  
46Ca  1.93E-10  2.11E-10  5.94E-10  7.53E-10  7.57E-10  7.36E-10  1.54E-09  1.57E-09  
47Ca  4.66E-12  6.81E-12  9.01E-12  1.19E-11  1.30E-11  1.92E-11  3.57E-11  4.50E-11  
48Ca  1.58E-11  1.60E-11  1.83E-11  1.86E-11  1.88E-11  2.12E-11  2.36E-11  2.55E-11  
43Sc  2.05E-10  1.18E-07  1.19E-10  1.13E-07  7.17E-07  3.58E-11  2.59E-10  6.04E-07  
45Sc  1.73E-08  7.66E-07  2.04E-08  3.91E-07  8.47E-07  1.30E-08  3.29E-08  4.41E-07  
44Ti  2.70E-09  4.27E-05  2.78E-10  2.23E-05  2.01E-04  2.00E-11  1.18E-09  2.39E-04  
45Ti  3.30E-10  3.40E-07  5.53E-11  2.14E-07  2.10E-06  5.91E-12  2.52E-10  5.41E-07  
46Ti  6.03E-08  1.34E-06  3.45E-08  1.21E-06  2.51E-06  2.13E-08  5.52E-08  2.26E-06  
47Ti  1.57E-08  3.33E-07  1.33E-08  5.91E-07  2.27E-06  9.23E-09  2.20E-08  2.68E-06  
48Ti  1.62E-07  3.26E-07  1.83E-07  5.10E-07  4.08E-07  1.95E-07  2.10E-07  5.90E-07  
49Ti  2.14E-08  2.27E-08  3.13E-08  3.98E-08  3.67E-08  2.95E-08  4.60E-08  4.77E-08  
50Ti  4.89E-08  4.83E-08  6.06E-08  7.86E-08  7.79E-08  4.77E-08  1.03E-07  1.02E-07  
