elt   S30A      S30B      S35A      S35B      S35C      S40A      S40B      S40C   
66Ga  1.86E-08  4.64E-05  1.29E-08  3.13E-08  6.08E-05  8.05E-09  3.48E-08  3.66E-05  
67Ga  2.52E-07  4.90E-07  9.89E-08  4.06E-07  5.73E-07  4.56E-08  2.65E-07  5.10E-07  
68Ga  1.74E-07  3.01E-07  8.86E-08  3.39E-07  3.59E-07  4.78E-08  2.54E-07  3.84E-07  
69Ga  6.48E-05  8.62E-05  7.75E-05  1.41E-04  1.48E-04  7.31E-05  1.76E-04  2.23E-04  
70Ga  5.15E-06  9.99E-06  7.67E-06  2.60E-05  2.72E-05  3.99E-06  2.30E-05  3.53E-05  
64Ge  8.13E-18  1.10E-14  3.86E-18  1.19E-17  1.62E-17  1.81E-18  7.85E-18  1.71E-17  
65Ge  4.78E-21  3.45E-20  1.26E-21  7.54E-21  1.28E-20  4.17E-22  3.79E-21  9.88E-21  
66Ge  5.11E-12  9.92E-06  1.30E-12  7.67E-12  1.23E-05  4.60E-13  4.74E-12  5.17E-05  
67Ge  1.09E-11  2.27E-11  2.63E-12  1.53E-11  1.83E-11  8.76E-13  7.67E-12  4.79E-09  
68Ge  7.99E-09  3.52E-08  5.66E-09  2.11E-08  9.33E-08  3.91E-09  1.83E-08  6.73E-08  
69Ge  1.87E-07  4.39E-07  8.69E-08  3.55E-07  4.96E-07  5.10E-08  2.30E-07  5.61E-07  
70Ge  1.44E-04  2.66E-04  1.13E-04  2.71E-04  3.36E-04  9.12E-05  2.33E-04  4.26E-04  
71Ge  8.14E-04  9.71E-04  7.25E-04  1.39E-03  1.38E-03  5.57E-04  1.61E-03  1.74E-03  
Mass  25.9      28.2      27.8      31.3      33.2      27.7      32.5      36.0      
